CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 143.125000 1635993632.2919
MEM 143.125000 1635993632.4026
MEM 143.125000 1635993632.5133
MEM 143.125000 1635993632.6230
MEM 143.125000 1635993632.7337
MEM 143.125000 1635993632.8444
MEM 143.125000 1635993632.9541
MEM 143.128906 1635993633.0638
MEM 143.140625 1635993633.1735
MEM 143.140625 1635993633.2823
MEM 143.140625 1635993633.3940
MEM 143.140625 1635993633.5037
MEM 143.140625 1635993633.6133
MEM 143.140625 1635993633.7250
MEM 143.140625 1635993633.8367
MEM 143.140625 1635993633.9465
MEM 143.140625 1635993634.0572
MEM 143.140625 1635993634.1679
MEM 143.140625 1635993634.2796
MEM 143.140625 1635993634.3913
MEM 143.140625 1635993634.5020
MEM 143.140625 1635993634.6127
MEM 143.140625 1635993634.7224
MEM 143.140625 1635993634.8332
MEM 143.140625 1635993634.9439
MEM 143.140625 1635993635.0526
MEM 143.140625 1635993635.1643
MEM 143.140625 1635993635.2760
MEM 143.140625 1635993635.3857
MEM 143.140625 1635993635.4974
MEM 143.140625 1635993635.6091
MEM 143.140625 1635993635.7188
MEM 143.140625 1635993635.8285
MEM 143.140625 1635993635.9402
MEM 143.140625 1635993636.0519
MEM 143.140625 1635993636.1616
MEM 143.140625 1635993636.2733
MEM 143.140625 1635993636.3850
MEM 143.140625 1635993636.4967
MEM 143.140625 1635993636.6084
MEM 143.140625 1635993636.7191
MEM 143.140625 1635993636.8308
MEM 143.140625 1635993636.9415
MEM 143.140625 1635993637.0532
MEM 143.140625 1635993637.1629
MEM 143.140625 1635993637.2736
MEM 143.140625 1635993637.3853
MEM 143.140625 1635993637.4951
MEM 143.140625 1635993637.6038
MEM 143.140625 1635993637.7125
MEM 143.140625 1635993637.8222
MEM 143.140625 1635993637.9299
MEM 143.140625 1635993638.0416
MEM 143.140625 1635993638.1513
MEM 143.140625 1635993638.2600
MEM 143.140625 1635993638.3707
MEM 143.140625 1635993638.4824
MEM 143.140625 1635993638.5921
MEM 143.140625 1635993638.7018
MEM 143.140625 1635993638.8115
MEM 143.140625 1635993638.9223
MEM 143.140625 1635993639.0340
MEM 143.140625 1635993639.1456
MEM 143.140625 1635993639.2553
MEM 143.140625 1635993639.3650
MEM 143.140625 1635993639.4727
MEM 143.140625 1635993639.5824
MEM 143.140625 1635993639.6932
MEM 143.140625 1635993639.8019
MEM 143.140625 1635993639.9116
MEM 143.140625 1635993640.0233
MEM 143.140625 1635993640.1320
MEM 143.140625 1635993640.2407
MEM 143.140625 1635993640.3524
MEM 143.140625 1635993640.4641
MEM 143.140625 1635993640.5748
MEM 143.140625 1635993640.6855
MEM 143.140625 1635993640.7992
MEM 143.140625 1635993640.9069
MEM 143.140625 1635993641.0176
MEM 143.140625 1635993641.1294
MEM 143.140625 1635993641.2400
MEM 143.140625 1635993641.3518
MEM 143.140625 1635993641.4635
MEM 143.140625 1635993641.5731
MEM 143.140625 1635993641.6849
